# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result, these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>."
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 330         4.122       51.992      11.90       Hoek van Holland
# P         : Luchtdruk (in 0.1 hPa) herleid naar zeeniveau; tijdens de waarneming / Air pressure (in 0.1 hPa) reduced to mean sea level; at the time of observation
 # STN,YYYYMMDD,H,    P
  330,20230918,    7,10020
  330,20230918,    8,10025
  330,20230918,    9,10030
  330,20230918,   10,10030
  330,20230918,   11,10031
  330,20230918,   12,10027
  330,20230918,   13,10019
  330,20230918,   14,10020
  330,20230918,   15,10009
  330,20230918,   16,10009
  330,20230918,   17,10014
  330,20230918,   18,10021
  330,20230918,   19,10030
  330,20230918,   20,10039
  330,20230918,   21,10048
  330,20230918,   22,10056
  330,20230918,   23,10060
  330,20230918,   24,10066
  330,20230919,    1,10071
  330,20230919,    2,10072
  330,20230919,    3,10073
  330,20230919,    4,10075
  330,20230919,    5,10078
  330,20230919,    6,10080
  330,20230919,    7,10081
  330,20230919,    8,10081
  330,20230919,    9,10080
  330,20230919,   10,10076
  330,20230919,   11,10073
  330,20230919,   12,10069
  330,20230919,   13,10071
  330,20230919,   14,10070
  330,20230919,   15,10070
  330,20230919,   16,10070
  330,20230919,   17,10071
  330,20230919,   18,10072
  330,20230919,   19,10071
  330,20230919,   20,10073
  330,20230919,   21,10072
  330,20230919,   22,10069
  330,20230919,   23,10069
  330,20230919,   24,10070
  330,20230920,    1,10069
  330,20230920,    2,10066
  330,20230920,    3,10060
  330,20230920,    4,10054
  330,20230920,    5,10049
  330,20230920,    6,10048
  330,20230920,    7,10048
  330,20230920,    8,10051
  330,20230920,    9,10050
  330,20230920,   10,10048
  330,20230920,   11,10045
  330,20230920,   12,10039
  330,20230920,   13,10031
  330,20230920,   14,10029
  330,20230920,   15,10025
  330,20230920,   16,10019
  330,20230920,   17,10014
  330,20230920,   18,10010
  330,20230920,   19,10010
  330,20230920,   20,10002
  330,20230920,   21, 9989
  330,20230920,   22, 9982
  330,20230920,   23, 9976
  330,20230920,   24, 9970
  330,20230921,    1, 9968
  330,20230921,    2, 9968
  330,20230921,    3, 9962
  330,20230921,    4, 9959
  330,20230921,    5, 9965
  330,20230921,    6, 9966
  330,20230921,    7, 9969
  330,20230921,    8, 9973
  330,20230921,    9, 9978
  330,20230921,   10, 9981
  330,20230921,   11, 9975
  330,20230921,   12, 9970
  330,20230921,   13, 9970
  330,20230921,   14, 9964
  330,20230921,   15, 9962
  330,20230921,   16, 9958
  330,20230921,   17, 9954
  330,20230921,   18, 9953
  330,20230921,   19, 9960
  330,20230921,   20, 9965
  330,20230921,   21, 9970
  330,20230921,   22, 9975
  330,20230921,   23, 9976
  330,20230921,   24, 9976
  330,20230922,    1, 9975
  330,20230922,    2, 9972
  330,20230922,    3, 9971
  330,20230922,    4, 9968
  330,20230922,    5, 9972
  330,20230922,    6, 9977
